[General]
Name|Derek

[Dialogues]
0|Hé, comment ça va, mon pote ?
0.1|Ah, enfin, tu es arrivé ! Par contre, j'ai oublié de te dire que mes amis sont un peu... comment dire, excentriques ? Mais ils sont cool quand même. Fais comme chez toi, mais n'oublie pas de te présenter aux autres avant.
0.2|Allez, Derek, soit fort... Merde, désolé. Ma tête part dans tous les sens ces derniers temps.
1|J'éviterais Frank si j'étais toi. Il en faut peu pour qu'il pète un câble. Mais si tu tiens vraiment à être dans ses bonnes grâces, essaye de le convaincre que tu es de son côté.
2|As-tu vérifié dans le frigo ? Selon moi, c'est l'endroit le plus probable où tu puisses en trouver.
3|Whoa désolé, mon pote. Je préfère ne pas être mêlé à vos manigances. Si Madison apprend que j'ai joué ne serait-ce que le plus petit rôle, elle me tuerait. Tu ferais mieux de lui rendre. Si tu commences par hacker des portables, tu vas ensuite vendre de la drogue, cambrioler des banques et brûler des orphelinats... C'est un terrain glissant.
4|Merde, c'est quoi ton problème ? Je t'ai invité à la soirée d'une de mes potes et tu fouilles dans ses affaires ? J'espère au moins que tu as une bonne raison...
5|Je ne te crois pas. Tu vas te démerder tout seul sur ce coup-là.
6|Eh bien, pourquoi ne pas l'avoir dit plus tôt ? Il doit probablement être dans son coffre-fort. Je sais que Madison écrit son code d'accès parce qu'elle le change sans arrêt. A ta place, je commencerais par chercher des indices dans sa chambre.
7|Ah ouais ?  Kat et toi ? Je n'arrive pas à croire que quelqu'un a réussi à percer son coeur de pierre. Bien joué, mon pote !  Bref, elle est toujours collée à son téléphone. Si tu arrives à trouver un moyen de pourrir sa réception, elle ira probablement à un autre endroit pour mieux capter.
8|Calme-toi, mon pote. Il y a un robinet dans la cuisine. Je suis sûr que tu peux trouver une bouteille vide à remplir...
8.1|Du calme, mon pote. Il y a un robinet dans la cuisine, comme dans la plupart des cuisines d'ailleurs. Je suis sûr que tu pourras trouver quelque chose à remplir d'eau...
9|Mais c'est quoi ton problème ? Merde ! Ce sont également mes amis ! Respecte-les ! Néanmoins, sympa la coupe...
10|Grandis un peu, mon pote. Ce n'est même pas drôle ! Merde, j'espère que j'ai un change dans la voiture...
11|Tout l'alcool que j'ai vu ici est gardé par Frank. Tu vas devoir négocier directement avec lui.
12|Hum. As-tu essayé de lui offrir un cadeau ? Les femmes adorent recevoir un cadeau inattendu.
13|En fait, je sais qu'Ashley aime bien fumer un joint de temps en temps. Je suppose que c'est le meilleur moyen pour redevenir quitte avec elle.
14|Mon pote, on vient tout juste d'avoir cette discussion. Tu crois vraiment que je ne t'aurais pas prévenu si j'en avais ?
15|Hé, relax max ! Tout le monde sait qu'Ashley déteste la couleur rouge ! A ta place, j'éviterais de faire ça, surtout si c'est pour revenir dans ses bonnes grâces. Néanmoins, lui donner une fleur reste une bonne idée... Dommage qu'elle ne soit pas d'une autre couleur. 
16|Je crois que les parents de Stephanie sont super riches. Donc si quelqu'un à 50 balles ici, c'est probablement elle. Tu devrais peut-être aller lui parler et voir si elle a besoin de quoi que ce soit...
17|C'est quoi ton problème ? Je t'ai déjà dit que je ne veux pas en parler avec toi. Et je ne veux rien savoir non plus !
18|Tu fais chier. Bon écoute-moi bien, je ne vais pas me répéter. Lorsque j'ai un peu bu, j'ai l'impression d'être un peu plus endurant pour ce genre de sport... Tu devrais peut-être essayer de boire un coup et voir si ça fonctionne pour toi. Mais évite de te déchirer complètement, sinon ça ne servira à rien.
19|Hé, calme-toi ! Je sais que Frank n'est qu'un vulgaire connard, mais il ne faut pas tout résoudre par la violence. Je suis sûr que tu peux résoudre ça pacifiquement. Il faudrait une très bonne raison pour que je déclenche une bagarre.
20|En fait, je trouve ça amusant. Il en faut beaucoup plus pour me faire sortir de mes gonds, et Frank n'a pas encore atteint cette limite.
21|Amy, c'est la meilleure. J'ai eu quelques classes avec elle le semestre dernier. Elle est raide dingue du groupe Panic at the Disco. Elle devient folle dès qu'on lui en parle.
22|Merci d'être venu, mon pote. J'apprécie vraiment que tu sois là. Ca n'a pas été une semaine facile pour moi. J'avais hâte de te revoir.
23|Pas la peine d'en parler maintenant. Détends-toi un peu et profite de cette soirée.
24|Je me disais bien que tu l'apprendrais tôt ou tard. J'aurais mieux fait de te le dire moi-même. Cependant, j'apprécie ton inquiétude. Si je trouve le type qui lui a vendu cette merde... Il va prendre super cher.
